locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGCHFFMF_01106	CDS	741	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
FGCHFFMF_01107	CDS	1350	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
FGCHFFMF_01108	CDS	306				hypothetical protein
FGCHFFMF_01109	CDS	333				hypothetical protein
FGCHFFMF_01110	CDS	735	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
FGCHFFMF_01111	CDS	2598	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
FGCHFFMF_01112	CDS	465		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
FGCHFFMF_01113	CDS	996	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
FGCHFFMF_01114	CDS	444				hypothetical protein
FGCHFFMF_01115	CDS	672				hypothetical protein
FGCHFFMF_01116	CDS	759	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
FGCHFFMF_01117	CDS	759				hypothetical protein
FGCHFFMF_01118	CDS	1365	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
FGCHFFMF_01119	CDS	735		1.-.-.-	COG1028	putative oxidoreductase
FGCHFFMF_01120	CDS	1335	fpgS	6.3.2.17		Folylpolyglutamate synthase
FGCHFFMF_01121	CDS	1104	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
FGCHFFMF_01122	CDS	2259	lptD_2			LPS-assembly protein LptD
FGCHFFMF_01123	CDS	1302	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
FGCHFFMF_01124	CDS	573				hypothetical protein
FGCHFFMF_01125	CDS	1002	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
FGCHFFMF_01126	CDS	999				hypothetical protein
FGCHFFMF_01127	CDS	1107	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
FGCHFFMF_01128	CDS	1245				hypothetical protein
FGCHFFMF_01129	CDS	1305				hypothetical protein
FGCHFFMF_01130	CDS	1182				hypothetical protein
FGCHFFMF_01131	CDS	1416	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
FGCHFFMF_01132	CDS	1083				hypothetical protein
FGCHFFMF_01133	CDS	630				hypothetical protein
FGCHFFMF_01134	CDS	1497				hypothetical protein
FGCHFFMF_01135	CDS	1413				hypothetical protein
FGCHFFMF_01136	CDS	1056	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
FGCHFFMF_01137	CDS	969	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
FGCHFFMF_01138	CDS	726				hypothetical protein
FGCHFFMF_01139	CDS	924		5.1.3.2	COG1088	UDP-glucose 4-epimerase
FGCHFFMF_01140	CDS	1023	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
FGCHFFMF_01141	CDS	777	phnP_1	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
FGCHFFMF_01142	tRNA	76				tRNA-Lys(ctt)
FGCHFFMF_01143	tRNA	75				tRNA-Gly(gcc)
FGCHFFMF_01144	CDS	1137	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
FGCHFFMF_01145	CDS	315	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
FGCHFFMF_01146	CDS	2403				hypothetical protein
FGCHFFMF_01147	CDS	2976				hypothetical protein
FGCHFFMF_01148	CDS	2289	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
FGCHFFMF_01149	CDS	1800				hypothetical protein
FGCHFFMF_01150	CDS	288				hypothetical protein
FGCHFFMF_01151	CDS	405				hypothetical protein
FGCHFFMF_01152	CDS	231				hypothetical protein
FGCHFFMF_01153	CDS	819	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FGCHFFMF_01154	CDS	405				hypothetical protein
FGCHFFMF_01155	CDS	1329				hypothetical protein
FGCHFFMF_01156	CDS	2148	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
FGCHFFMF_01157	CDS	957	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
FGCHFFMF_01158	CDS	1176				hypothetical protein
FGCHFFMF_01159	CDS	1803				hypothetical protein
FGCHFFMF_01160	CDS	1947				hypothetical protein
FGCHFFMF_01161	CDS	1068	hypE	4.2.1.-		Carbamoyl dehydratase HypE
FGCHFFMF_01162	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
FGCHFFMF_01163	CDS	993	pyrD_2	1.3.-.-		Dihydroorotate dehydrogenase
FGCHFFMF_01164	CDS	3591	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
FGCHFFMF_01165	CDS	927				hypothetical protein
FGCHFFMF_01166	CDS	939				hypothetical protein
FGCHFFMF_01167	CDS	909				hypothetical protein
FGCHFFMF_01168	CDS	636				hypothetical protein
FGCHFFMF_01169	CDS	966	lacF			Lactose transport system permease protein LacF
FGCHFFMF_01170	CDS	1107				hypothetical protein
FGCHFFMF_01171	CDS	1332	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
FGCHFFMF_01172	CDS	1089	thrC	4.2.3.1	COG0498	Threonine synthase
FGCHFFMF_01173	CDS	1083				hypothetical protein
FGCHFFMF_01174	CDS	1197	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
FGCHFFMF_01175	CDS	1221		2.7.2.4	COG0527	Aspartate kinase
FGCHFFMF_01176	CDS	135				hypothetical protein
FGCHFFMF_01177	CDS	1590	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
FGCHFFMF_01178	CDS	825	racE	5.1.1.3	COG0796	Glutamate racemase 1
FGCHFFMF_01179	CDS	558				hypothetical protein
FGCHFFMF_01180	CDS	1218				hypothetical protein
FGCHFFMF_01181	CDS	1374	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
FGCHFFMF_01182	CDS	462				hypothetical protein
FGCHFFMF_01183	tRNA	77				tRNA-Cys(gca)
FGCHFFMF_01184	CDS	939	mdh	1.1.1.37		Malate dehydrogenase
FGCHFFMF_01185	CDS	1179	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
FGCHFFMF_01186	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
FGCHFFMF_01187	CDS	1188	citZ	2.3.3.16	COG0372	Citrate synthase 2
FGCHFFMF_01188	CDS	1851				hypothetical protein
FGCHFFMF_01189	CDS	396				hypothetical protein
FGCHFFMF_01190	tRNA	87				tRNA-Leu(caa)
FGCHFFMF_01191	CDS	2259	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
FGCHFFMF_01192	CDS	819				hypothetical protein
FGCHFFMF_01193	CDS	957				hypothetical protein
FGCHFFMF_01194	CDS	1074				hypothetical protein
FGCHFFMF_01195	CDS	1644	sir	1.8.7.1		Sulfite reductase [ferredoxin]
FGCHFFMF_01196	CDS	714	cysH	1.8.4.10		Thioredoxin-dependent 5'-adenylylsulfate reductase
FGCHFFMF_01197	CDS	1071	cysA_2	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
FGCHFFMF_01198	CDS	864	cysW		COG4208	Sulfate transport system permease protein CysW
FGCHFFMF_01199	CDS	831	cysT		COG0555	Sulfate transport system permease protein CysT
FGCHFFMF_01200	CDS	993	sbp		COG1613	Sulfate-binding protein
FGCHFFMF_01201	CDS	402				hypothetical protein
FGCHFFMF_01202	CDS	180				hypothetical protein
FGCHFFMF_01203	CDS	213				hypothetical protein
FGCHFFMF_01204	CDS	1233		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
FGCHFFMF_01205	CDS	819	ttuC	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
FGCHFFMF_01206	CDS	399	mec	3.13.1.6	COG1310	CysO-cysteine peptidase
FGCHFFMF_01207	CDS	2355				hypothetical protein
FGCHFFMF_01208	CDS	882	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
FGCHFFMF_01209	CDS	1818	cysNC		COG0529	Bifunctional enzyme CysN/CysC
FGCHFFMF_01210	CDS	423				hypothetical protein
FGCHFFMF_01211	CDS	1344	tolC			Outer membrane protein TolC
FGCHFFMF_01212	CDS	1569	emrB_1			Multidrug export protein EmrB
FGCHFFMF_01213	CDS	864	emrK		COG1566	putative multidrug resistance protein EmrK
FGCHFFMF_01214	CDS	285				hypothetical protein
FGCHFFMF_01215	CDS	777				hypothetical protein
FGCHFFMF_01216	CDS	483	slyA			Transcriptional regulator SlyA
FGCHFFMF_01217	CDS	1302				hypothetical protein
FGCHFFMF_01218	CDS	843	emrA			Colistin resistance protein EmrA
FGCHFFMF_01219	CDS	1557	emrB_2			Multidrug export protein EmrB
FGCHFFMF_01220	CDS	714	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
FGCHFFMF_01221	CDS	1341	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
FGCHFFMF_01222	CDS	582	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
FGCHFFMF_01223	CDS	1308	dapL_1	2.6.1.83		LL-diaminopimelate aminotransferase
FGCHFFMF_01224	CDS	2352	btuB_2			Vitamin B12 transporter BtuB
FGCHFFMF_01225	CDS	960	srpG	2.5.1.47	COG0031	Cysteine synthase
FGCHFFMF_01226	CDS	1650	cdr	1.8.1.14		Coenzyme A disulfide reductase
FGCHFFMF_01227	CDS	306				hypothetical protein
FGCHFFMF_01228	CDS	579	sigW_2		COG1595	ECF RNA polymerase sigma factor SigW
FGCHFFMF_01229	CDS	393	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
FGCHFFMF_01230	CDS	360				hypothetical protein
FGCHFFMF_01231	CDS	2289	silP	7.2.2.15		Silver exporting P-type ATPase
FGCHFFMF_01232	CDS	363				hypothetical protein
FGCHFFMF_01233	CDS	885	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
FGCHFFMF_01234	CDS	654				hypothetical protein
FGCHFFMF_01235	CDS	744				hypothetical protein
FGCHFFMF_01236	CDS	594				hypothetical protein
FGCHFFMF_01237	CDS	1074	ce2C	3.1.1.-		Acetylxylan esterase / glucomannan deacetylase
FGCHFFMF_01238	CDS	930	esiB_2			Secretory immunoglobulin A-binding protein EsiB
FGCHFFMF_01239	CDS	711				hypothetical protein
FGCHFFMF_01240	CDS	2187				hypothetical protein
FGCHFFMF_01241	CDS	1827	rhaR_1			HTH-type transcriptional activator RhaR
FGCHFFMF_01242	CDS	960				hypothetical protein
FGCHFFMF_01243	CDS	663				hypothetical protein
FGCHFFMF_01244	CDS	939				hypothetical protein
FGCHFFMF_01245	CDS	2286				hypothetical protein
FGCHFFMF_01246	CDS	492				hypothetical protein
FGCHFFMF_01247	CDS	1464				hypothetical protein
FGCHFFMF_01248	CDS	1023				hypothetical protein
FGCHFFMF_01249	CDS	195				hypothetical protein
FGCHFFMF_01250	CDS	1050				hypothetical protein
FGCHFFMF_01251	CDS	1305	dadA	1.4.99.-		D-amino acid dehydrogenase
FGCHFFMF_01252	CDS	756	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
FGCHFFMF_01253	CDS	945				hypothetical protein
FGCHFFMF_01254	CDS	1737		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
FGCHFFMF_01255	CDS	639	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
FGCHFFMF_01256	CDS	1005	hldE_1		COG2870	Bifunctional protein HldE
FGCHFFMF_01257	CDS	858	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
FGCHFFMF_01258	CDS	489		2.7.7.70	COG2870	D-beta-D-heptose 1-phosphate adenylyltransferase
FGCHFFMF_01259	CDS	990	rfaF_1	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
FGCHFFMF_01260	CDS	903				hypothetical protein
FGCHFFMF_01261	CDS	600	gmk	2.7.4.8	COG0194	Guanylate kinase
FGCHFFMF_01262	CDS	201				hypothetical protein
FGCHFFMF_01263	CDS	1212	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
FGCHFFMF_01264	CDS	774				hypothetical protein
FGCHFFMF_01265	CDS	2217	priA	3.6.4.-	COG1198	Primosomal protein N'
FGCHFFMF_01266	CDS	546	def	3.5.1.88	COG0242	Peptide deformylase
FGCHFFMF_01267	CDS	951	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
FGCHFFMF_01268	CDS	408				hypothetical protein
FGCHFFMF_01269	CDS	390				hypothetical protein
FGCHFFMF_01270	CDS	879	htpX_2	3.4.24.-	COG0501	Protease HtpX 
FGCHFFMF_01271	CDS	1422	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
FGCHFFMF_01272	CDS	852				hypothetical protein
FGCHFFMF_01273	CDS	933				hypothetical protein
FGCHFFMF_01274	CDS	1131				hypothetical protein
FGCHFFMF_01275	CDS	216				hypothetical protein
FGCHFFMF_01276	CDS	807	mazG	3.6.1.1	COG1694	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG
FGCHFFMF_01277	CDS	798				hypothetical protein
FGCHFFMF_01278	CDS	693	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
FGCHFFMF_01279	tRNA	74				tRNA-Gln(ctg)
FGCHFFMF_01280	CDS	486				hypothetical protein
FGCHFFMF_01281	CDS	180				hypothetical protein
FGCHFFMF_01282	CDS	402				hypothetical protein
FGCHFFMF_01283	CDS	468	hycG		COG3260	Formate hydrogenlyase subunit 7
FGCHFFMF_01284	CDS	876	ndhA	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
FGCHFFMF_01285	CDS	1935	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FGCHFFMF_01286	CDS	1302	rhlE_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
FGCHFFMF_01287	CDS	759	cysG_2		COG0007	Siroheme synthase
FGCHFFMF_01288	CDS	1443	ndhB_2	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
FGCHFFMF_01289	CDS	1497	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
FGCHFFMF_01290	CDS	2076	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FGCHFFMF_01291	CDS	321	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
FGCHFFMF_01292	CDS	501				hypothetical protein
FGCHFFMF_01293	CDS	522	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
FGCHFFMF_01294	CDS	1128	nuoH_1	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
FGCHFFMF_01295	CDS	1140	nqo4_1	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
FGCHFFMF_01296	CDS	453	ndhJ_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
FGCHFFMF_01297	CDS	546	nqo6_1	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
FGCHFFMF_01298	CDS	366	ndhC_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
FGCHFFMF_01299	CDS	1041	sdsA	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
FGCHFFMF_01300	CDS	234				hypothetical protein
FGCHFFMF_01301	CDS	846	folD		COG0190	Bifunctional protein FolD protein
FGCHFFMF_01302	CDS	2163				hypothetical protein
FGCHFFMF_01303	CDS	3864	polC	2.7.7.7		DNA polymerase III PolC-type
FGCHFFMF_01304	CDS	1056				hypothetical protein
FGCHFFMF_01305	CDS	633	nth	4.2.99.18	COG0177	Endonuclease III
FGCHFFMF_01306	CDS	441				hypothetical protein
FGCHFFMF_01307	CDS	1290				hypothetical protein
FGCHFFMF_01308	CDS	1020				hypothetical protein
FGCHFFMF_01309	CDS	3744				hypothetical protein
FGCHFFMF_01310	CDS	324	trxA_2		COG0526	Thioredoxin
FGCHFFMF_01311	CDS	753	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FGCHFFMF_01312	CDS	1164	fabF_3	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
FGCHFFMF_01313	CDS	1173	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
FGCHFFMF_01314	CDS	684	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
FGCHFFMF_01315	CDS	2160				hypothetical protein
FGCHFFMF_01316	CDS	900				hypothetical protein
FGCHFFMF_01317	CDS	471	greA		COG0782	Transcription elongation factor GreA
FGCHFFMF_01318	CDS	732				hypothetical protein
FGCHFFMF_01319	CDS	2571	leuS	6.1.1.4		Leucine--tRNA ligase
FGCHFFMF_01320	CDS	597				hypothetical protein
FGCHFFMF_01321	CDS	948				hypothetical protein
FGCHFFMF_01322	CDS	255				hypothetical protein
FGCHFFMF_01323	CDS	972				hypothetical protein
FGCHFFMF_01324	CDS	1020				hypothetical protein
FGCHFFMF_01325	CDS	729	phnF		COG2188	putative transcriptional regulator PhnF
FGCHFFMF_01326	CDS	888	ptxB			putative phosphite transport system-binding protein PtxB
FGCHFFMF_01327	CDS	780	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
FGCHFFMF_01328	CDS	813				hypothetical protein
FGCHFFMF_01329	CDS	810	phnE		COG3639	Phosphate-import permease protein PhnE
FGCHFFMF_01330	CDS	471				hypothetical protein
FGCHFFMF_01331	CDS	564				hypothetical protein
FGCHFFMF_01332	CDS	1116	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
FGCHFFMF_01333	CDS	882	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
FGCHFFMF_01334	CDS	252				hypothetical protein
FGCHFFMF_01335	CDS	690	atpB_1		COG0356	ATP synthase subunit a
FGCHFFMF_01336	CDS	282	atpH_1			ATP synthase subunit c
FGCHFFMF_01337	CDS	804	atpF_1			ATP synthase subunit b
FGCHFFMF_01338	CDS	1581	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
FGCHFFMF_01339	CDS	885	atpG		COG0224	ATP synthase gamma chain
FGCHFFMF_01340	CDS	798				hypothetical protein
FGCHFFMF_01341	CDS	924	qmcA		COG0330	Protein QmcA
FGCHFFMF_01342	CDS	177				hypothetical protein
FGCHFFMF_01343	CDS	1344	nplT	3.2.1.135		Neopullulanase
FGCHFFMF_01344	CDS	624	slmA			Nucleoid occlusion factor SlmA
FGCHFFMF_01345	CDS	534				hypothetical protein
FGCHFFMF_01346	CDS	564				hypothetical protein
FGCHFFMF_01347	CDS	657				hypothetical protein
FGCHFFMF_01348	CDS	990				hypothetical protein
FGCHFFMF_01349	CDS	993				hypothetical protein
FGCHFFMF_01350	CDS	972				hypothetical protein
FGCHFFMF_01351	CDS	2661				hypothetical protein
FGCHFFMF_01352	CDS	207	cspB_1		COG1278	Cold shock protein CspB
FGCHFFMF_01353	CDS	621				hypothetical protein
FGCHFFMF_01354	CDS	450				hypothetical protein
FGCHFFMF_01355	CDS	543				hypothetical protein
FGCHFFMF_01356	CDS	1119	mrp		COG0489	Iron-sulfur cluster carrier protein
FGCHFFMF_01357	CDS	1074	namA	1.6.99.1	COG1902	NADPH dehydrogenase
FGCHFFMF_01358	CDS	990	iolS_3	1.1.1.-	COG0667	Aldo-keto reductase IolS
FGCHFFMF_01359	CDS	1044	xerC_2			Tyrosine recombinase XerC
FGCHFFMF_01360	tRNA	77				tRNA-Arg(tct)
FGCHFFMF_01361	CDS	2022	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_01362	CDS	375	divK_2			Polar-differentiation response regulator DivK
FGCHFFMF_01363	CDS	1698	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_01364	CDS	1752	menF	5.4.4.2		Isochorismate synthase MenF
FGCHFFMF_01365	tRNA	77				tRNA-His(gtg)
FGCHFFMF_01366	tRNA	77				tRNA-Arg(ccg)
FGCHFFMF_01367	CDS	402				hypothetical protein
FGCHFFMF_01368	CDS	474				hypothetical protein
FGCHFFMF_01369	CDS	2607	hppA	7.1.3.1	COG3808	K(+)-insensitive pyrophosphate-energized proton pump
FGCHFFMF_01370	CDS	579		1.15.1.1		Superoxide dismutase [Fe]
FGCHFFMF_01371	CDS	2268	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
FGCHFFMF_01372	CDS	1377				hypothetical protein
FGCHFFMF_01373	CDS	822				hypothetical protein
FGCHFFMF_01374	CDS	1236				hypothetical protein
FGCHFFMF_01375	CDS	918				hypothetical protein
FGCHFFMF_01376	CDS	834		2.1.1.315		27-O-demethylrifamycin SV methyltransferase
FGCHFFMF_01377	CDS	1185				hypothetical protein
FGCHFFMF_01378	CDS	1062				hypothetical protein
FGCHFFMF_01379	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
FGCHFFMF_01380	CDS	684	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
FGCHFFMF_01381	CDS	597				hypothetical protein
FGCHFFMF_01382	CDS	450	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
FGCHFFMF_01383	CDS	1377	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
FGCHFFMF_01384	CDS	1116	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
FGCHFFMF_01385	CDS	1092	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FGCHFFMF_01386	CDS	1395	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
FGCHFFMF_01387	CDS	972	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FGCHFFMF_01388	CDS	951	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
FGCHFFMF_01389	CDS	957				hypothetical protein
FGCHFFMF_01390	CDS	1266	ftsA_3		COG0849	Cell division protein FtsA
FGCHFFMF_01391	CDS	1125	ftsZ		COG0206	Cell division protein FtsZ
FGCHFFMF_01392	CDS	1203				hypothetical protein
FGCHFFMF_01393	CDS	810	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
FGCHFFMF_01394	CDS	210				hypothetical protein
FGCHFFMF_01395	CDS	129				hypothetical protein
FGCHFFMF_01396	CDS	345				hypothetical protein
FGCHFFMF_01397	CDS	873	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
FGCHFFMF_01398	CDS	912	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
FGCHFFMF_01399	CDS	1233	entS_1			Enterobactin exporter EntS
FGCHFFMF_01400	CDS	624			COG0325	Pyridoxal phosphate homeostasis protein
FGCHFFMF_01401	CDS	822	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FGCHFFMF_01402	CDS	267				hypothetical protein
FGCHFFMF_01403	CDS	819	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
FGCHFFMF_01404	CDS	1056	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
FGCHFFMF_01405	CDS	678				hypothetical protein
FGCHFFMF_01406	CDS	210				hypothetical protein
FGCHFFMF_01407	CDS	720				hypothetical protein
FGCHFFMF_01408	CDS	831				hypothetical protein
FGCHFFMF_01409	CDS	1269	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
FGCHFFMF_01410	CDS	837	proB	2.7.2.11		Glutamate 5-kinase
FGCHFFMF_01411	CDS	1284	obg	3.6.5.-		GTPase Obg
FGCHFFMF_01412	CDS	276	rpmA		COG0211	50S ribosomal protein L27
FGCHFFMF_01413	CDS	312	rplU		COG0261	50S ribosomal protein L21
FGCHFFMF_01414	CDS	627				hypothetical protein
FGCHFFMF_01415	CDS	1857	rne	3.1.26.12		Ribonuclease E
FGCHFFMF_01416	CDS	1092	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
FGCHFFMF_01417	CDS	1782	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
FGCHFFMF_01418	CDS	555				hypothetical protein
FGCHFFMF_01419	CDS	804				hypothetical protein
FGCHFFMF_01420	CDS	1053	mreB		COG1077	Cell shape-determining protein MreB
FGCHFFMF_01421	CDS	231				hypothetical protein
FGCHFFMF_01422	CDS	1494	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
FGCHFFMF_01423	CDS	600	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
FGCHFFMF_01424	CDS	789				hypothetical protein
FGCHFFMF_01425	CDS	555	dcd	3.5.4.13		dCTP deaminase
FGCHFFMF_01426	CDS	468				hypothetical protein
FGCHFFMF_01427	CDS	447	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
FGCHFFMF_01428	CDS	1089	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
FGCHFFMF_01429	CDS	807	truA_2	5.4.99.12	COG0101	tRNA pseudouridine synthase A
FGCHFFMF_01430	CDS	420	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
FGCHFFMF_01431	CDS	795				hypothetical protein
FGCHFFMF_01432	CDS	222				hypothetical protein
FGCHFFMF_01433	CDS	1314				hypothetical protein
FGCHFFMF_01434	CDS	657				hypothetical protein
FGCHFFMF_01435	CDS	717				hypothetical protein
FGCHFFMF_01436	CDS	903	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
FGCHFFMF_01437	CDS	480	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
FGCHFFMF_01438	CDS	1608	RBKS	2.7.1.15		Ribokinase
FGCHFFMF_01439	CDS	1083				hypothetical protein
FGCHFFMF_01440	CDS	1431	bchE	1.21.98.3	COG1032	Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
FGCHFFMF_01441	CDS	195				hypothetical protein
FGCHFFMF_01442	CDS	1527				hypothetical protein
FGCHFFMF_01443	CDS	822				hypothetical protein
FGCHFFMF_01444	CDS	1098	noc			Nucleoid occlusion protein
FGCHFFMF_01445	CDS	654	vldH	3.1.3.101		Validoxylamine A 7'-phosphate phosphatase
FGCHFFMF_01446	CDS	1422	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FGCHFFMF_01447	CDS	4539	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
FGCHFFMF_01448	CDS	1536				hypothetical protein
FGCHFFMF_01449	CDS	237				hypothetical protein
FGCHFFMF_01450	CDS	282				hypothetical protein
FGCHFFMF_01451	CDS	156				hypothetical protein
FGCHFFMF_01452	CDS	414				hypothetical protein
FGCHFFMF_01453	CDS	204				hypothetical protein
FGCHFFMF_01454	CDS	162				hypothetical protein
FGCHFFMF_01455	CDS	1332				hypothetical protein
FGCHFFMF_01456	CDS	2817				hypothetical protein
FGCHFFMF_01457	CDS	1122				hypothetical protein
FGCHFFMF_01458	CDS	945				hypothetical protein
FGCHFFMF_01459	CDS	717	tal	2.2.1.2	COG0176	Transaldolase
