	seqname	contigLen	totalAvgDepth	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
2001	NODE_2002_length_6767_cov_3.272050	6767	4.80278	4.80278	5.22041	bin.018	58.0							Bacteria?					
2005	NODE_2006_length_6760_cov_2.951230	6760	4.70272	4.70272	5.06013	bin.018	69.0							Bacteria?					
2009	NODE_2010_length_6751_cov_3.649194	6751	5.85033	5.85033	6.50661	bin.018	66.0							Bacteria?					
2014	NODE_2015_length_6743_cov_2.847638	6743	4.49249	4.49249	3.763	bin.018	60.0							Bacteria?					
2018	NODE_2019_length_6730_cov_3.658727	6730	5.79119	5.79119	6.34362	bin.018	64.0							Bacteria?					
2019	NODE_2020_length_6722_cov_3.255437	6722	5.28028	5.28028	7.42875	bin.018	64.0							Bacteria?					
2022	NODE_2023_length_6708_cov_4.714415	6708	7.48826	7.48826	7.00349	bin.018	60.0							Bacteria?					
2023	NODE_2024_length_6705_cov_2.871880	6705	4.53867	4.53867	4.75394	bin.018	66.0							Bacteria?					
2025	NODE_2026_length_6698_cov_4.297757	6698	6.74679	6.74679	7.68527	bin.018	63.0							Bacteria?					
2028	NODE_2029_length_6696_cov_4.450535	6696	7.16025	7.16025	7.28237	bin.018	62.0							Bacteria?					
2029	NODE_2030_length_6695_cov_4.648645	6695	7.40917	7.40917	7.89123	bin.018	64.0							Bacteria?					
2031	NODE_2032_length_6689_cov_3.551100	6689	5.40694	5.40694	5.32907	bin.018	60.0							Bacteria?					
2035	NODE_2036_length_6676_cov_3.151337	6676	5.05118	5.05118	3.31874	bin.018	64.0							Bacteria?					
2041	NODE_2042_length_6663_cov_4.937197	6663	7.6877	7.6877	8.59365	bin.018	57.0							Bacteria?					
2043	NODE_2044_length_6660_cov_4.350341	6660	7.00614	7.00614	5.32852	bin.018	62.0							Bacteria?					
2045	NODE_2046_length_6648_cov_3.479903	6648	5.48923	5.48923	8.57867	bin.018	64.0							Bacteria?					
2047	NODE_2048_length_6641_cov_3.814910	6641	5.53736	5.53736	4.77158	bin.018	61.0							Bacteria?					
2048	NODE_2049_length_6633_cov_3.012010	6633	4.45766	4.45766	3.79255	bin.018	58.0							Bacteria?					
2050	NODE_2051_length_6630_cov_3.249125	6630	5.06142	5.06142	4.79478	bin.018	60.0							Bacteria?					
2052	NODE_2053_length_6627_cov_5.387401	6627	8.53265	8.53265	10.4098	bin.018	59.0							Bacteria?					
2053	NODE_2054_length_6624_cov_3.596895	6624	5.23834	5.23834	5.48693	bin.018	63.0							Bacteria?					
2055	NODE_2056_length_6608_cov_2.822371	6608	4.40198	4.40198	3.5707	bin.018	64.0							Bacteria?					
2057	NODE_2058_length_6607_cov_4.271520	6607	6.71814	6.71814	8.60234	bin.018	63.0							Bacteria?					
2058	NODE_2059_length_6607_cov_3.745726	6607	5.78535	5.78535	8.66304	bin.018	56.0							Bacteria?					
2062	NODE_2063_length_6604_cov_2.906551	6604	4.62271	4.62271	3.92632	bin.018	68.0							Bacteria?					
2063	NODE_2064_length_6603_cov_3.040318	6603	4.83744	4.83744	5.65295	bin.018	66.0							Bacteria?					
2066	NODE_2067_length_6601_cov_4.032233	6601	6.40366	6.40366	7.21302	bin.018	58.0							Bacteria?					
2067	NODE_2068_length_6600_cov_2.973109	6600	4.71426	4.71426	4.78625	bin.018	65.0							Bacteria?					
2071	NODE_2072_length_6577_cov_5.203312	6577	7.90369	7.90369	8.20086	bin.018	61.0							Bacteria?					
2073	NODE_2074_length_6572_cov_3.398343	6572	5.3815	5.3815	3.4222	bin.018	59.0							Bacteria?					
2077	NODE_2078_length_6560_cov_4.122521	6560	6.72418	6.72418	6.76936	bin.018	61.0							Bacteria?					
2081	NODE_2082_length_6546_cov_3.613773	6546	5.63837	5.63837	5.63173	bin.018	63.0							Bacteria?					
2083	NODE_2084_length_6541_cov_3.130126	6541	4.93992	4.93992	4.39071	bin.018	66.0							Bacteria?					
2085	NODE_2086_length_6539_cov_2.924738	6539	4.66161	4.66161	4.84364	bin.018	66.0							Bacteria?					
2090	NODE_2091_length_6527_cov_4.161156	6527	6.72197	6.72197	6.71637	bin.018	62.0							Bacteria?					
2092	NODE_2093_length_6527_cov_2.553616	6527	4.15509	4.15509	4.05643	bin.018	61.0	bin.018	0.96	0.813	0.487	0.267	0.96	dsDNAphage	6524.0	0.0	38.5	0.0	|full
2093	NODE_2094_length_6526_cov_4.226549	6526	6.62484	6.62484	6.79096	bin.018	64.0							Bacteria?					
2098	NODE_2099_length_6511_cov_4.139095	6511	6.30184	6.30184	9.74498	bin.018	62.0							Bacteria?					
2100	NODE_2101_length_6507_cov_4.287043	6507	6.619	6.619	9.73734	bin.018	62.0							Bacteria?					
2101	NODE_2102_length_6502_cov_3.503490	6502	5.17459	5.17459	4.59974	bin.018	59.0							Bacteria?					
2102	NODE_2103_length_6500_cov_3.339022	6500	5.47307	5.47307	5.11275	bin.018	57.0							Bacteria?					
2105	NODE_2106_length_6493_cov_3.390960	6493	5.46587	5.46587	3.87413	bin.018	66.0							Bacteria?					
2109	NODE_2110_length_6488_cov_3.196487	6488	5.05096	5.05096	6.38688	bin.018	67.0							Bacteria?					
2110	NODE_2111_length_6487_cov_3.633551	6487	5.63847	5.63847	4.98855	bin.018	63.0							Bacteria?					
2111	NODE_2112_length_6483_cov_4.827785	6483	7.66556	7.66556	10.667	bin.018	60.0							Bacteria?					
2116	NODE_2117_length_6477_cov_2.737776	6477	4.32464	4.32464	4.46271	bin.018	66.0							Bacteria?					
2118	NODE_2119_length_6475_cov_3.232555	6475	5.2332	5.2332	5.62415	bin.018	67.0							Bacteria?					
2120	NODE_2121_length_6473_cov_2.612964	6473	4.3288	4.3288	3.12168	bin.018	55.0							Bacteria?					
2124	NODE_2125_length_6465_cov_3.480031	6465	5.57577	5.57577	6.72358	bin.018	66.0							Bacteria?					
2126	NODE_2127_length_6455_cov_4.095313	6455	6.34449	6.34449	5.9994	bin.018	58.0							Bacteria?					
2128	NODE_2129_length_6446_cov_3.794242	6446	6.00699	6.00699	8.23438	bin.018	61.0							Bacteria?					
2129	NODE_2130_length_6446_cov_3.660616	6446	5.84959	5.84959	5.87356	bin.018	66.0							Bacteria?					
2135	NODE_2136_length_6434_cov_3.274808	6434	5.24507	5.24507	3.81973	bin.018	69.0							Bacteria?					
2136	NODE_2137_length_6433_cov_3.320633	6433	5.40124	5.40124	5.40106	bin.018	68.0							Bacteria?					
2137	NODE_2138_length_6428_cov_3.473090	6428	5.55862	5.55862	7.49583	bin.018	57.0							Bacteria?					
2139	NODE_2140_length_6422_cov_3.297471	6422	5.25925	5.25925	4.24341	bin.018	59.0							Bacteria?					
2140	NODE_2141_length_6420_cov_4.985232	6420	7.51276	7.51276	10.2304	bin.018	60.0							Bacteria?					
2144	NODE_2145_length_6419_cov_4.439503	6419	7.28426	7.28426	7.36178	bin.018	62.0							Bacteria?					
2145	NODE_2146_length_6419_cov_3.021056	6419	4.76647	4.76647	5.31722	bin.018	64.0							Bacteria?					
2153	NODE_2154_length_6410_cov_2.879937	6410	4.61853	4.61853	4.12651	bin.018	62.0							Bacteria?					
2154	NODE_2155_length_6407_cov_3.181045	6407	5.1277	5.1277	5.8154	bin.018	65.0							Bacteria?					
2158	NODE_2159_length_6399_cov_6.143285	6399	9.05345	9.05345	10.8017	bin.018	64.0							Bacteria?					
2160	NODE_2161_length_6398_cov_4.666877	6398	7.22615	7.22615	5.46524	bin.018	58.0							Bacteria?					
2163	NODE_2164_length_6393_cov_3.045756	6393	4.82412	4.82412	6.38949	bin.018	58.0							Bacteria?					
2168	NODE_2169_length_6388_cov_2.942839	6388	4.76483	4.76483	5.59871	bin.018	65.0							Bacteria?					
2174	NODE_2175_length_6379_cov_4.118280	6379	6.35768	6.35768	6.81553	bin.018	60.0							Bacteria?					
2177	NODE_2178_length_6375_cov_3.798259	6375	5.40594	5.40594	5.43459	bin.018	59.0							Bacteria?					
2180	NODE_2181_length_6374_cov_3.655642	6374	5.62661	5.62661	6.41374	bin.018	60.0							Bacteria?					
2188	NODE_2189_length_6363_cov_2.636969	6363	4.22582	4.22582	3.11306	bin.018	65.0							Bacteria?					
2191	NODE_2192_length_6355_cov_3.584286	6355	5.51555	5.51555	4.51634	bin.018	62.0							Bacteria?					
2198	NODE_2199_length_6342_cov_3.133132	6342	4.87985	4.87985	3.19042	bin.018	67.0							Bacteria?					
2200	NODE_2201_length_6340_cov_2.571679	6340	3.99015	3.99015	3.73312	bin.018	68.0							Bacteria?					
2203	NODE_2204_length_6335_cov_3.994586	6335	6.52385	6.52385	9.15742	bin.018	61.0							Bacteria?					
2207	NODE_2208_length_6328_cov_4.649769	6328	7.38961	7.38961	9.97009	bin.018	62.0							Bacteria?					
2208	NODE_2209_length_6328_cov_4.499283	6328	7.01246	7.01246	7.59761	bin.018	62.0							Bacteria?					
2209	NODE_2210_length_6328_cov_3.915830	6328	6.06604	6.06604	7.99625	bin.018	63.0							Bacteria?					
2210	NODE_2211_length_6328_cov_2.903874	6328	4.6719	4.6719	4.21519	bin.018	58.0							Bacteria?					
2212	NODE_2213_length_6322_cov_3.952290	6322	6.23655	6.23655	6.48076	bin.018	62.0							Bacteria?					
2214	NODE_2215_length_6321_cov_2.869454	6321	4.51629	4.51629	3.1162	bin.018	65.0							Bacteria?					
2216	NODE_2217_length_6317_cov_3.496008	6317	5.58035	5.58035	5.2108	bin.018	62.0							Bacteria?					
2218	NODE_2219_length_6313_cov_3.896772	6313	5.90427	5.90427	6.99557	bin.018	61.0							Bacteria?					
2219	NODE_2220_length_6312_cov_2.848809	6312	4.58812	4.58812	5.31773	bin.018	70.0							Bacteria?					
2220	NODE_2221_length_6310_cov_3.786251	6310	5.92484	5.92484	7.41107	bin.018	66.0							Bacteria?					
2223	NODE_2224_length_6305_cov_5.161760	6305	7.84842	7.84842	12.1356	bin.018	58.0							Bacteria?					
2225	NODE_2226_length_6301_cov_3.765130	6301	5.99935	5.99935	6.3535	bin.018	63.0							Bacteria?					
2228	NODE_2229_length_6294_cov_4.789710	6294	7.77311	7.77311	9.40549	bin.018	62.0							Bacteria?					
2229	NODE_2230_length_6292_cov_3.338945	6292	5.25757	5.25757	4.24164	bin.018	68.0							Bacteria?					
2232	NODE_2233_length_6287_cov_3.270058	6287	5.25827	5.25827	6.54982	bin.018	64.0							Bacteria?					
2233	NODE_2234_length_6284_cov_3.346605	6284	5.61379	5.61379	8.28387	bin.018	56.0							Bacteria?					
2237	NODE_2238_length_6282_cov_3.661314	6282	5.84377	5.84377	4.46715	bin.018	66.0	bin.018	0.153	0.013	0.033	0.573	0.573	NCLDV	6211.0	0.0	20.0	0.0	|full
2238	NODE_2239_length_6279_cov_3.117770	6279	5.05205	5.05205	3.97003	bin.018	66.0							Bacteria?					
2241	NODE_2242_length_6268_cov_3.960245	6268	6.50687	6.50687	9.11399	bin.018	63.0							Bacteria?					
2242	NODE_2243_length_6265_cov_5.119324	6265	7.35568	7.35568	9.79739	bin.018	65.0							Bacteria?					
2245	NODE_2246_length_6261_cov_3.776345	6261	5.87923	5.87923	6.30159	bin.018	63.0							Bacteria?					
2246	NODE_2247_length_6259_cov_3.817215	6259	6.07874	6.07874	6.24874	bin.018	60.0							Bacteria?					
2247	NODE_2248_length_6257_cov_4.308449	6257	6.97757	6.97757	7.27116	bin.018	64.0							Bacteria?					
2248	NODE_2249_length_6254_cov_4.256977	6254	6.51687	6.51687	7.87901	bin.018	62.0							Bacteria?					
2249	NODE_2250_length_6253_cov_3.503550	6253	5.50844	5.50844	6.1332	bin.018	60.0							Bacteria?					
2251	NODE_2252_length_6248_cov_7.011142	6248	7.44146	7.44146	11.6087	bin.018	61.0							Bacteria?					
2254	NODE_2255_length_6243_cov_4.955721	6243	7.53882	7.53882	9.16435	bin.018	66.0							Bacteria?					
2256	NODE_2257_length_6239_cov_4.430627	6239	7.0941	7.0941	7.15356	bin.018	61.0							Bacteria?					
2257	NODE_2258_length_6236_cov_3.175053	6236	5.10023	5.10023	5.75797	bin.018	64.0							Bacteria?					
2258	NODE_2259_length_6234_cov_2.834601	6234	4.46121	4.46121	3.27463	bin.018	65.0							Bacteria?					
2260	NODE_2261_length_6230_cov_3.804534	6230	6.06513	6.06513	6.17336	bin.018	61.0							Bacteria?					
2262	NODE_2263_length_6225_cov_3.291896	6225	5.20724	5.20724	5.12942	bin.018	67.0							Bacteria?					
2265	NODE_2266_length_6214_cov_3.289333	6214	5.33047	5.33047	4.73593	bin.018	66.0							Bacteria?					
2269	NODE_2270_length_6205_cov_3.280650	6205	5.16961	5.16961	5.69216	bin.018	60.0							Bacteria?					
2270	NODE_2271_length_6204_cov_2.971865	6204	4.65841	4.65841	4.39213	bin.018	65.0							Bacteria?					
2271	NODE_2272_length_6203_cov_4.550748	6203	7.18999	7.18999	7.34534	bin.018	56.0							Bacteria?					
2274	NODE_2275_length_6195_cov_3.620847	6195	4.73945	4.73945	5.65505	bin.018	62.0							Bacteria?					
2275	NODE_2276_length_6195_cov_3.444137	6195	5.39983	5.39983	5.3545	bin.018	61.0	bin.018	1.0	0.613	0.353	0.627	1.0	dsDNAphage	6069.0	3.0	71.4	0.0	|full
2276	NODE_2277_length_6193_cov_3.376181	6193	5.26924	5.26924	4.01144	bin.018	60.0							Bacteria?					
2281	NODE_2282_length_6189_cov_4.929410	6189	7.06955	7.06955	7.81358	bin.018	64.0							Bacteria?					
2282	NODE_2283_length_6189_cov_3.887838	6189	6.23299	6.23299	11.8594	bin.018	61.0							Bacteria?					
2286	NODE_2287_length_6179_cov_3.050784	6179	4.8416	4.8416	3.75841	bin.018	64.0							Bacteria?					
2290	NODE_2291_length_6170_cov_4.541619	6170	6.28987	6.28987	20.3988	bin.018	59.0	bin.018	0.047	0.0	0.007	0.553	0.553	NCLDV	5706.0	0.0	20.0	0.0	|full
2297	NODE_2298_length_6151_cov_3.345965	6151	5.09915	5.09915	4.92147	bin.018	66.0							Bacteria?					
2299	NODE_2300_length_6143_cov_3.935447	6143	6.2865	6.2865	6.0476	bin.018	61.0							Bacteria?					
2301	NODE_2302_length_6138_cov_3.527865	6138	4.77906	4.77906	4.59613	bin.018	64.0							Bacteria?					
2303	NODE_2304_length_6132_cov_3.150732	6132	4.80993	4.80993	5.81791	bin.018	69.0							Bacteria?					
2305	NODE_2306_length_6128_cov_4.424996	6128	6.72566	6.72566	8.63898	bin.018	61.0							Bacteria?					
2312	NODE_2313_length_6117_cov_3.594688	6117	5.66331	5.66331	6.34811	bin.018	64.0							Bacteria?					
2314	NODE_2315_length_6112_cov_3.280502	6112	5.09862	5.09862	5.86746	bin.018	59.0							Bacteria?					
2315	NODE_2316_length_6110_cov_3.037159	6110	4.6995	4.6995	5.45243	bin.018	63.0							Bacteria?					
2318	NODE_2319_length_6103_cov_4.034888	6103	6.30522	6.30522	7.53468	bin.018	67.0							Bacteria?					
2319	NODE_2320_length_6101_cov_3.144393	6101	4.87918	4.87918	4.95014	bin.018	65.0							Bacteria?					
2320	NODE_2321_length_6100_cov_4.005955	6100	6.16773	6.16773	10.3333	bin.018	63.0							Bacteria?					
2324	NODE_2325_length_6090_cov_3.827009	6090	6.18906	6.18906	7.11048	bin.018	65.0							Bacteria?					
2326	NODE_2327_length_6076_cov_3.396280	6076	5.23456	5.23456	3.29281	bin.018	59.0							Bacteria?					
2328	NODE_2329_length_6069_cov_4.100765	6069	6.69336	6.69336	6.78054	bin.018	61.0							Bacteria?					
2329	NODE_2330_length_6063_cov_4.749501	6063	7.36377	7.36377	7.89725	bin.018	60.0							Bacteria?					
2333	NODE_2334_length_6059_cov_3.086442	6059	4.912	4.912	7.2148	bin.018	64.0							Bacteria?					
2334	NODE_2335_length_6057_cov_3.781573	6057	5.72287	5.72287	6.24888	bin.018	59.0							Bacteria?					
2336	NODE_2337_length_6053_cov_4.176892	6053	6.79078	6.79078	9.0245	bin.018	63.0							Bacteria?					
2339	NODE_2340_length_6052_cov_3.333667	6052	5.27821	5.27821	5.88598	bin.018	66.0							Bacteria?					
2340	NODE_2341_length_6050_cov_5.326772	6050	6.74627	6.74627	10.362	bin.018	59.0							Bacteria?					
2345	NODE_2346_length_6034_cov_3.512795	6034	5.56951	5.56951	6.29652	bin.018	58.0	bin.018	0.893	0.013	0.0	0.713	0.893	dsDNAphage	5981.0	0.0	25.0	8.3	|full
2348	NODE_2349_length_6033_cov_3.242723	6033	5.19531	5.19531	4.73648	bin.018	64.0							Bacteria?					
2350	NODE_2351_length_6028_cov_3.130588	6028	4.99422	4.99422	4.1534	bin.018	66.0							Bacteria?					
2356	NODE_2357_length_6016_cov_4.403624	6016	6.20696	6.20696	7.77201	bin.018	63.0							Bacteria?					
2357	NODE_2358_length_6014_cov_2.828830	6014	4.55031	4.55031	3.90043	bin.018	68.0							Bacteria?					
2359	NODE_2360_length_6011_cov_3.880121	6011	6.0116	6.0116	7.33774	bin.018	60.0							Bacteria?					
2362	NODE_2363_length_6008_cov_3.176886	6008	5.00205	5.00205	3.95859	bin.018	60.0							Bacteria?					
2365	NODE_2366_length_6007_cov_2.551075	6007	3.93922	3.93922	3.4587	bin.018	65.0							Bacteria?					
2366	NODE_2367_length_6006_cov_3.321627	6006	5.06113	5.06113	5.27938	bin.018	65.0							Bacteria?					
2370	NODE_2371_length_6003_cov_3.899294	6003	6.2708	6.2708	6.45515	bin.018	64.0							Bacteria?					
2374	NODE_2375_length_5997_cov_2.853080	5997	4.42603	4.42603	4.95743	bin.018	64.0							Bacteria?					
2379	NODE_2380_length_5992_cov_2.516422	5992	4.02242	4.02242	4.32495	bin.018	65.0							Bacteria?					
2386	NODE_2387_length_5974_cov_3.493158	5974	5.40728	5.40728	8.29368	bin.018	60.0							Bacteria?					
2388	NODE_2389_length_5971_cov_2.826741	5971	4.59749	4.59749	3.31101	bin.018	70.0							Bacteria?					
2389	NODE_2390_length_5962_cov_5.759777	5962	8.20871	8.20871	10.2862	bin.018	64.0							Bacteria?					
2390	NODE_2391_length_5962_cov_3.040630	5962	4.82571	4.82571	5.67849	bin.018	65.0							Bacteria?					
2392	NODE_2393_length_5959_cov_4.235264	5959	6.86745	6.86745	6.57331	bin.018	62.0							Bacteria?					
2394	NODE_2395_length_5958_cov_3.891581	5958	6.13206	6.13206	5.09785	bin.018	60.0							Bacteria?					
2396	NODE_2397_length_5957_cov_2.940020	5957	4.59583	4.59583	5.51521	bin.018	58.0							Bacteria?					
2397	NODE_2398_length_5956_cov_3.972547	5956	6.29039	6.29039	8.07219	bin.018	58.0	bin.018	0.993	0.86	0.34	0.647	0.993	dsDNAphage	5953.0	2.0	62.5	0.0	|full
2398	NODE_2399_length_5955_cov_3.644915	5955	5.86443	5.86443	6.37424	bin.018	65.0							Bacteria?					
2401	NODE_2402_length_5948_cov_3.285254	5948	5.23801	5.23801	4.69714	bin.018	65.0							Bacteria?					
2403	NODE_2404_length_5943_cov_3.762738	5943	6.082	6.082	4.64559	bin.018	65.0	bin.018	0.0	0.0	0.0	0.527	0.527	NCLDV	5942.0	0.0	16.7	0.0	|full
2406	NODE_2407_length_5940_cov_3.467290	5940	4.99188	4.99188	4.67548	bin.018	64.0							Bacteria?					
2408	NODE_2409_length_5939_cov_4.049796	5939	6.50441	6.50441	9.37089	bin.018	63.0							Bacteria?					
2409	NODE_2410_length_5934_cov_4.148835	5934	6.79806	6.79806	9.12084	bin.018	61.0							Bacteria?					
2414	NODE_2415_length_5924_cov_4.643892	5924	7.18012	7.18012	9.65818	bin.018	60.0							Bacteria?					
2419	NODE_2420_length_5919_cov_3.325887	5919	5.27076	5.27076	6.0613	bin.018	61.0	bin.018	0.653	0.06	0.087	0.467	0.653	dsDNAphage	5796.0	0.0	50.0	12.5	|full
2420	NODE_2421_length_5914_cov_3.450760	5914	5.37144	5.37144	6.54419	bin.018	65.0							Bacteria?					
2421	NODE_2422_length_5910_cov_3.900769	5910	6.2	6.2	6.95899	bin.018	64.0							Bacteria?					
2429	NODE_2430_length_5891_cov_4.329849	5891	6.78697	6.78697	7.63218	bin.018	63.0							Bacteria?					
2431	NODE_2432_length_5887_cov_5.031379	5887	7.23357	7.23357	8.61168	bin.018	63.0							Bacteria?					
2432	NODE_2433_length_5882_cov_4.339797	5882	6.8948	6.8948	8.82809	bin.018	63.0							Bacteria?					
2435	NODE_2436_length_5881_cov_4.473567	5881	6.37864	6.37864	11.4031	bin.018	57.0							Bacteria?					
2436	NODE_2437_length_5880_cov_4.531674	5880	7.1	7.1	6.74156	bin.018	64.0							Bacteria?					
2444	NODE_2445_length_5871_cov_3.656637	5871	5.24227	5.24227	4.38847	bin.018	64.0							Bacteria?					
2446	NODE_2447_length_5868_cov_3.307414	5868	5.58954	5.58954	6.10775	bin.018	64.0							Bacteria?					
2449	NODE_2450_length_5864_cov_3.311585	5864	5.37959	5.37959	4.06499	bin.018	60.0							Bacteria?					
2450	NODE_2451_length_5862_cov_3.958498	5862	6.35697	6.35697	5.88113	bin.018	59.0							Bacteria?					
2452	NODE_2453_length_5859_cov_4.615782	5859	7.51988	7.51988	6.45461	bin.018	65.0							Bacteria?					
2454	NODE_2455_length_5858_cov_3.208857	5858	5.1363	5.1363	5.85154	bin.018	67.0							Bacteria?					
2455	NODE_2456_length_5854_cov_4.153647	5854	6.67216	6.67216	7.47883	bin.018	61.0							Bacteria?					
2456	NODE_2457_length_5854_cov_3.615278	5854	5.71897	5.71897	7.62748	bin.018	60.0							Bacteria?					
2458	NODE_2459_length_5853_cov_2.702139	5853	4.31983	4.31983	3.17875	bin.018	65.0							Bacteria?					
2460	NODE_2461_length_5850_cov_4.360138	5850	7.03649	7.03649	8.20574	bin.018	61.0							Bacteria?					
2461	NODE_2462_length_5842_cov_3.494384	5842	5.53391	5.53391	6.5336	bin.018	64.0							Bacteria?					
2462	NODE_2463_length_5840_cov_4.009680	5840	6.43163	6.43163	6.74147	bin.018	63.0							Bacteria?					
2464	NODE_2465_length_5836_cov_4.011936	5836	6.08477	6.08477	4.38858	bin.018	64.0							Bacteria?					
2468	NODE_2469_length_5833_cov_3.167705	5833	4.79518	4.79518	5.701	bin.018	62.0							Bacteria?					
2469	NODE_2470_length_5833_cov_2.979578	5833	4.80996	4.80996	4.19895	bin.018	68.0							Bacteria?					
2471	NODE_2472_length_5832_cov_3.242340	5832	5.0	5.0	3.88734	bin.018	59.0							Bacteria?					
2472	NODE_2473_length_5832_cov_2.939415	5832	4.66139	4.66139	3.63207	bin.018	67.0							Bacteria?					
2473	NODE_2474_length_5831_cov_4.680402	5831	7.55219	7.55219	9.78547	bin.018	60.0							Bacteria?					
2475	NODE_2476_length_5826_cov_3.470629	5826	5.57611	5.57611	5.9729	bin.018	64.0							Bacteria?					
2476	NODE_2477_length_5825_cov_3.148873	5825	5.04969	5.04969	5.03022	bin.018	67.0							Bacteria?					
2479	NODE_2480_length_5812_cov_4.485843	5812	7.10632	7.10632	6.27139	bin.018	60.0	bin.018	0.953	0.213	0.06	0.293	0.953	dsDNAphage	5733.0	0.0	6.7	0.0	|full
2480	NODE_2481_length_5808_cov_4.654267	5808	7.21421	7.21421	10.4656	bin.018	61.0							Bacteria?					
2481	NODE_2482_length_5807_cov_4.624826	5807	7.3417	7.3417	6.40516	bin.018	61.0							Bacteria?					
2486	NODE_2487_length_5801_cov_3.039854	5801	4.81649	4.81649	5.18056	bin.018	66.0							Bacteria?					
2490	NODE_2491_length_5798_cov_3.111788	5798	4.91324	4.91324	6.01334	bin.018	59.0	bin.018	0.987	0.66	0.467	0.587	0.987	dsDNAphage	5797.0	1.0	50.0	0.0	|full
2492	NODE_2493_length_5793_cov_4.537295	5793	6.73418	6.73418	8.58069	bin.018	60.0							Bacteria?					
2495	NODE_2496_length_5790_cov_3.325022	5790	5.33245	5.33245	4.74721	bin.018	66.0							Bacteria?					
2500	NODE_2501_length_5780_cov_4.045590	5780	6.39361	6.39361	8.51289	bin.018	59.0							Bacteria?					
2504	NODE_2505_length_5771_cov_3.149405	5771	5.27753	5.27753	5.32655	bin.018	63.0							Bacteria?					
2506	NODE_2507_length_5768_cov_4.841589	5768	7.59826	7.59826	7.46705	bin.018	64.0							Bacteria?					
2512	NODE_2513_length_5759_cov_3.251578	5759	5.04992	5.04992	4.88015	bin.018	58.0							Bacteria?					
2513	NODE_2514_length_5757_cov_4.344967	5757	6.65062	6.65062	8.36666	bin.018	62.0							Bacteria?					
2515	NODE_2516_length_5756_cov_3.254692	5756	5.22833	5.22833	8.46554	bin.018	58.0							Bacteria?					
2516	NODE_2517_length_5756_cov_3.240133	5756	5.14146	5.14146	4.41444	bin.018	63.0							Bacteria?					
2518	NODE_2519_length_5753_cov_3.885925	5753	5.84151	5.84151	6.73853	bin.018	57.0							Bacteria?					
2520	NODE_2521_length_5749_cov_3.390938	5749	5.47348	5.47348	8.44977	bin.018	68.0							Bacteria?					
2521	NODE_2522_length_5748_cov_3.230283	5748	5.05734	5.05734	6.13303	bin.018	67.0							Bacteria?					
2526	NODE_2527_length_5741_cov_3.071931	5741	4.90234	4.90234	3.85182	bin.018	68.0							Bacteria?					
2527	NODE_2528_length_5740_cov_3.988391	5740	6.43614	6.43614	6.6839	bin.018	63.0							Bacteria?					
2532	NODE_2533_length_5726_cov_3.869688	5726	5.96144	5.96144	6.64837	bin.018	59.0							Bacteria?					
2536	NODE_2537_length_5722_cov_3.745368	5722	5.40901	5.40901	5.3956	bin.018	62.0							Bacteria?					
2537	NODE_2538_length_5716_cov_3.119590	5716	5.0018	5.0018	4.37057	bin.018	69.0							Bacteria?					
2541	NODE_2542_length_5707_cov_4.535916	5707	7.20443	7.20443	8.40555	bin.018	62.0							Bacteria?					
2542	NODE_2543_length_5706_cov_4.084410	5706	6.09233	6.09233	5.97324	bin.018	62.0							Bacteria?					
2543	NODE_2544_length_5703_cov_2.728045	5703	4.34918	4.34918	3.57131	bin.018	69.0							Bacteria?					
2547	NODE_2548_length_5696_cov_2.782131	5696	4.41904	4.41904	5.56725	bin.018	64.0							Bacteria?					
2548	NODE_2549_length_5694_cov_4.791984	5694	7.49387	7.49387	6.43115	bin.018	64.0							Bacteria?					
2549	NODE_2550_length_5693_cov_4.681270	5693	7.23958	7.23958	8.19221	bin.018	61.0							Bacteria?					
2553	NODE_2554_length_5689_cov_3.727370	5689	6.00397	6.00397	8.17766	bin.018	61.0							Bacteria?					
2556	NODE_2557_length_5686_cov_3.873735	5686	5.8535	5.8535	7.4161	bin.018	63.0							Bacteria?					
2560	NODE_2561_length_5683_cov_4.586176	5683	6.64648	6.64648	11.6274	bin.018	63.0	bin.018	0.04	0.0	0.107	0.507	0.507	NCLDV	5682.0	0.0	16.7	0.0	|full
2562	NODE_2563_length_5680_cov_4.411022	5680	6.95244	6.95244	7.82835	bin.018	61.0							Bacteria?					
2563	NODE_2564_length_5677_cov_4.888296	5677	6.71793	6.71793	12.2338	bin.018	60.0							Bacteria?					
2564	NODE_2565_length_5676_cov_4.895392	5676	7.63608	7.63608	12.8579	bin.018	62.0							Bacteria?					
2565	NODE_2566_length_5673_cov_3.061054	5673	4.8968	4.8968	5.63109	bin.018	55.0	bin.018	0.813	0.367	0.533	0.12	0.813	dsDNAphage	5669.0	0.0	28.6	0.0	|full
2570	NODE_2571_length_5667_cov_3.645937	5667	5.75295	5.75295	7.36588	bin.018	60.0							Bacteria?					
2571	NODE_2572_length_5659_cov_5.420057	5659	7.34634	7.34634	18.6834	bin.018	56.0							Bacteria?					
2572	NODE_2573_length_5659_cov_3.393469	5659	5.3438	5.3438	3.9382	bin.018	66.0							Bacteria?					
